n,lambda,mu,N
0,(),(),1
1,1,(),1
1,1,1,1
2,2,(),2
2,2,1,2
2,2,2,1
2,11,1,1
2,11,11,1
3,3,(),3
3,3,1,4
3,3,11,1
3,3,2,2
3,3,3,1
3,21,(),1
3,21,1,3
3,21,11,2
3,21,2,2
3,21,21,1
3,111,11,1
3,111,111,1
4,4,(),5
4,4,1,7
4,4,11,2
4,4,2,5
4,4,21,1
4,4,3,2
4,4,4,1
4,31,(),2
4,31,1,7
4,31,11,6
4,31,2,5
4,31,111,1
4,31,21,3
4,31,3,2
4,31,31,1
4,22,(),2
4,22,1,3
4,22,11,1
4,22,2,4
4,22,21,2
4,22,3,1
4,22,22,1
4,211,1,1
4,211,11,3
4,211,2,1
4,211,111,2
4,211,21,2
4,211,211,1
4,1111,111,1
4,1111,1111,1
5,5,(),7
5,5,1,12
5,5,11,5
5,5,2,9
5,5,21,3
5,5,3,5
5,5,31,1
5,5,4,2
5,5,5,1
5,41,(),5
5,41,1,14
5,41,11,12
5,41,2,13
5,41,111,3
5,41,21,9
5,41,3,6
5,41,211,1
5,41,22,1
5,41,31,3
5,41,4,2
5,41,41,1
5,32,(),4
5,32,1,10
5,32,11,8
5,32,2,11
5,32,111,2
5,32,21,8
5,32,3,6
5,32,211,1
5,32,22,2
5,32,31,3
5,32,4,1
5,32,32,1
5,311,1,3
5,311,11,8
5,311,2,4
5,311,111,6
5,311,21,7
5,311,3,1
5,311,1111,1
5,311,211,3
5,311,22,1
5,311,31,2
5,311,311,1
5,221,(),1
5,221,1,3
5,221,11,3
5,221,2,4
5,221,111,1
5,221,21,5
5,221,3,2
5,221,211,2
5,221,22,2
5,221,31,1
5,221,221,1
5,2111,11,1
5,2111,111,3
5,2111,21,1
5,2111,1111,2
5,2111,211,2
5,2111,2111,1
5,11111,1111,1
5,11111,11111,1
6,6,(),11
6,6,1,19
6,6,11,9
6,6,2,17
6,6,111,1
6,6,21,7
6,6,3,10
6,6,22,1
6,6,31,3
6,6,4,5
6,6,41,1
6,6,5,2
6,6,6,1
6,51,(),8
6,51,1,26
6,51,11,25
6,51,2,26
6,51,111,7
6,51,21,22
6,51,3,15
6,51,211,4
6,51,22,3
6,51,31,10
6,51,4,6
6,51,311,1
6,51,32,1
6,51,41,3
6,51,5,2
6,51,51,1
6,42,(),10
6,42,1,24
6,42,11,20
6,42,2,30
6,42,111,7
6,42,21,25
6,42,3,18
6,42,1111,1
6,42,211,5
6,42,22,8
6,42,31,11
6,42,4,7
6,42,221,1
6,42,311,1
6,42,32,3
6,42,41,3
6,42,5,1
6,42,42,1
6,411,(),1
6,411,1,8
6,411,11,18
6,411,2,11
6,411,111,14
6,411,21,19
6,411,3,6
6,411,1111,3
6,411,211,10
6,411,22,4
6,411,31,8
6,411,4,1
6,411,2111,1
6,411,221,1
6,411,311,3
6,411,32,1
6,411,41,2
6,411,411,1
6,33,(),2
6,33,1,9
6,33,11,12
6,33,2,9
6,33,111,5
6,33,21,10
6,33,3,8
6,33,211,3
6,33,22,1
6,33,31,7
6,33,4,2
6,33,311,1
6,33,32,2
6,33,41,1
6,33,33,1
6,321,(),2
6,321,1,10
6,321,11,15
6,321,2,15
6,321,111,9
6,321,21,22
6,321,3,9
6,321,1111,2
6,321,211,10
6,321,22,8
6,321,31,10
6,321,4,2
6,321,2111,1
6,321,221,3
6,321,311,3
6,321,32,3
6,321,41,1
6,321,321,1
6,3111,11,3
6,3111,2,1
6,3111,111,8
6,3111,21,5
6,3111,1111,6
6,3111,211,7
6,3111,22,2
6,3111,31,1
6,3111,11111,1
6,3111,2111,3
6,3111,221,1
6,3111,311,2
6,3111,3111,1
6,222,(),2
6,222,1,3
6,222,11,1
6,222,2,5
6,222,21,4
6,222,3,4
6,222,211,1
6,222,22,4
6,222,31,2
6,222,4,1
6,222,221,2
6,222,32,1
6,222,222,1
6,2211,1,1
6,2211,11,3
6,2211,2,1
6,2211,111,3
6,2211,21,4
6,2211,3,1
6,2211,1111,1
6,2211,211,5
6,2211,22,1
6,2211,31,2
6,2211,2111,2
6,2211,221,2
6,2211,311,1
6,2211,2211,1
6,21111,111,1
6,21111,1111,3
6,21111,211,1
6,21111,11111,2
6,21111,2111,2
6,21111,21111,1
6,111111,11111,1
6,111111,111111,1
7,7,(),15
7,7,1,30
7,7,11,17
7,7,2,28
7,7,111,2
7,7,21,15
7,7,3,19
7,7,211,1
7,7,22,2
7,7,31,8
7,7,4,10
7,7,32,1
7,7,41,3
7,7,5,5
7,7,51,1
7,7,6,2
7,7,7,1
7,61,(),15
7,61,1,45
7,61,11,45
7,61,2,51
7,61,111,16
7,61,21,47
7,61,3,33
7,61,1111,1
7,61,211,11
7,61,22,10
7,61,31,25
7,61,4,16
7,61,221,1
7,61,311,4
7,61,32,4
7,61,41,10
7,61,5,6
7,61,411,1
7,61,42,1
7,61,51,3
7,61,6,2
7,61,61,1
7,52,(),17
7,52,1,49
7,52,11,49
7,52,2,63
7,52,111,19
7,52,21,63
7,52,3,45
7,52,1111,2
7,52,211,18
7,52,22,20
7,52,31,36
7,52,4,20
7,52,2111,1
7,52,221,4
7,52,311,6
7,52,32,11
7,52,41,12
7,52,5,7
7,52,321,1
7,52,33,1
7,52,411,1
7,52,42,3
7,52,51,3
